"","symbol","allele","tpm","bias score","conclussion"
"ENSMUSG00000024423","Impact","P",80.88472243,-0.662814669,"known"
"ENSMUSG00000033022","Cdo1","M",118.9834032,0.317457447,"candidate"
"ENSMUSG00000029664","Tfpi2","M",251.82035,0.959279071,"known"
"ENSMUSG00000004631","Sgce","P",78.42237097,-0.900446101,"known"
"ENSMUSG00000092035","Peg10","P",3333.058009,-0.9440471,"known"
"ENSMUSG00000032827","Ppp1r9a","M",4.412921514,0.522622165,"known"
"ENSMUSG00000042607","Asb4","M",5.0347213,0.552958149,"known"
"ENSMUSG00000051855","Mest","P",171.3839165,-0.986520585,"known"
"ENSMUSG00000073209","Klf14","M",14.38796628,0.849888358,"known"
"ENSMUSG00000040649","Rimklb","M",33.65864473,0.90862876,"candidate"
"ENSMUSG00000030116","Mfap5","M",131.0470394,0.990778563,"candidate"
"ENSMUSG00000002266","Zim1","M",29.18192834,0.924387898,"known"
"ENSMUSG00000002265","Peg3","P",181.6522534,-0.976272436,"known"
"ENSMUSG00000000948","Snrpn","P",44.04585346,-0.786351391,"known"
"ENSMUSG00000033585","Ndn","P",35.8355914,-0.874374664,"known"
"ENSMUSG00000056972","Magel2","P",11.11985795,-0.95779955,"known"
"ENSMUSG00000000031","H19","M",11117.78445,0.960256067,"known"
"ENSMUSG00000048583","Igf2","P",2881.065082,-0.956817959,"known"
"ENSMUSG00000086266","Igf2as","P",38.07670751,-0.909298921,"known"
"ENSMUSG00000009248","Ascl2","M",14.31631892,0.899389789,"known"
"ENSMUSG00000045752","Tssc4","M",14.62744034,0.768179472,"known"
"ENSMUSG00000009545","Kcnq1","M",6.006289831,0.480472606,"known"
"ENSMUSG00000037664","Cdkn1c","M",1065.920981,0.956593725,"known"
"ENSMUSG00000000154","Slc22a18","M",58.86232756,0.788095753,"known"
"ENSMUSG00000010760","Phlda2","M",22.78188394,0.83201593,"known"
"ENSMUSG00000037613","Tnfrsf23","M",35.80713742,0.591330558,"known"
"ENSMUSG00000050276","Mrgprg","M",45.20626335,0.996287569,"candidate"
"ENSMUSG00000031075","Ano1","M",11.57726717,0.613484842,"known"
"ENSMUSG00000029096","Htra3","M",215.0181207,0.932970447,"known"
"ENSMUSG00000058153","Sez6l","M",18.5069254,0.945377191,"strong candidate"
"ENSMUSG00000025938","Slco5a1","M",4.950802907,0.910063715,"strong candidate"
"ENSMUSG00000033207","Mamdc2","M",4.891931876,0.813398602,"strong candidate"
"ENSMUSG00000018822","Sfrp5","M",127.9509361,0.986353624,"candidate"
"ENSMUSG00000031626","Sorbs2","M",6.750496614,0.795533896,"candidate"
"ENSMUSG00000037852","Cpe","M",138.6466904,0.911866498,"candidate"
"ENSMUSG00000031714","Gab1","P",68.49006707,-0.50020907,"known"
"ENSMUSG00000022025","Lect1","M",7.315752617,0.746577401,"candidate"
"ENSMUSG00000019817","Plagl1","P",155.3013318,-0.913317105,"known"
"ENSMUSG00000063727","Tnfrsf11b","M",197.8252251,0.940741994,"candidate"
"ENSMUSG00000022464","Slc38a4","P",655.856649,-0.694226152,"known"
"ENSMUSG00000050345","4930486L24Rik","M",281.0026423,0.955153882,"candidate"
"ENSMUSG00000022894","Adamts5","M",13.33105741,0.889503936,"strong candidate"
"ENSMUSG00000039903","4931408A02Rik","M",9.024398295,0.806924485,"candidate"
"ENSMUSG00000028011","Tdo2","M",13.84353155,0.933924003,"strong candidate"
"ENSMUSG00000056498","Tmem154","M",7.356792341,0.808708236,"candidate"
"ENSMUSG00000004885","Crabp2","M",31.96196942,0.900737962,"candidate"
"ENSMUSG00000023868","Pde10a","M",26.11532422,0.641342956,"known"
"ENSMUSG00000023828","Slc22a3","M",112.0584359,0.788923747,"known"
"ENSMUSG00000040966","Slc22a2","M",4.140943741,0.868400301,"known"
"ENSMUSG00000023830","Igf2r","M",106.5062808,0.848402514,"known"
"ENSMUSG00000078247","Airn","P",6.530717035,-0.852108928,"known"
"ENSMUSG00000023886","Smoc2","M",16.02129413,0.820352071,"known"
"ENSMUSG00000023885","Thbs2","M",10.61547929,0.551114947,"known"
"ENSMUSG00000023918","Gpr115","M",7.471361862,0.876866131,"candidate"
"ENSMUSG00000020953","Coch","M",78.87049916,0.796665642,"candidate"
"ENSMUSG00000035105","Egln3","M",26.52479148,0.859388889,"candidate"
"ENSMUSG00000040856","Dlk1","P",159.0694205,-0.967316013,"known"
"ENSMUSG00000021268","Meg3","M",94.91828859,0.963208835,"known"
"ENSMUSG00000085925","Rtl1","P",17.63782314,-0.689588418,"known"
"ENSMUSG00000025321","Itgb8","M",2.765782453,0.915867293,"candidate"
"ENSMUSG00000020176","Grb10","M",107.2077993,0.503109367,"known"
"ENSMUSG00000044068","Zrsr1","P",8.256388575,-0.715932156,"known"
"ENSMUSG00000043439","E130012A19Rik","P",58.50320066,-0.378136787,"candidate"
"ENSMUSG00000017400","Stac2","M",5.596702094,0.943349835,"candidate"
"ENSMUSG00000028635","Edn2","M",13.78194251,0.94124686,"candidate"
"ENSMUSG00000056529","Ptafr","M",15.49119246,0.92813904,"candidate"
"ENSMUSG00000028927","Padi2","M",46.61175253,0.840140293,"candidate"
"ENSMUSG00000061186","Sfmbt2","P",53.71875387,-0.86765899,"known"
"ENSMUSG00000037482","Erv3","M",807.7352091,0.947580545,"candidate"
"ENSMUSG00000067786","Nnat","P",22.96489394,-0.906817661,"known"
"ENSMUSG00000027551","Zfp64","P",13.51809,-0.620260699,"known"
"ENSMUSG00000027523","Gnas","P",8.13806035,-0.28197237,"known"
