"","symbol","allele","tpm","bias score","% cont","conclussion"
"ENSMUSG00000033022","Cdo1","M",118.9834032,0.317457447,271.982609840314,"candidate"
"ENSMUSG00000040649","Rimklb","M",33.65864473,0.90862876,14.8405723156419,"candidate"
"ENSMUSG00000030116","Mfap5","M",131.0470394,0.990778563,50.4542631296643,"candidate"
"ENSMUSG00000050276","Mrgprg","M",45.20626335,0.996287569,163.86392141534,"candidate"
"ENSMUSG00000058153","Sez6l","M",18.5069254,0.945377191,50.1957939912331,"strong candidate"
"ENSMUSG00000025938","Slco5a1","M",4.950802907,0.910063715,394.926771010689,"strong candidate"
"ENSMUSG00000033207","Mamdc2","M",4.891931876,0.813398602,299.06130540297,"strong candidate"
"ENSMUSG00000018822","Sfrp5","M",127.9509361,0.986353624,35.2326924152688,"candidate"
"ENSMUSG00000031626","Sorbs2","M",6.750496614,0.795533896,138.455936250847,"candidate"
"ENSMUSG00000037852","Cpe","M",138.6466904,0.911866498,215.80118176743,"candidate"
"ENSMUSG00000022025","Lect1","M",7.315752617,0.746577401,34.9532673797583,"candidate"
"ENSMUSG00000063727","Tnfrsf11b","M",197.8252251,0.940741994,96.1600703444293,"candidate"
"ENSMUSG00000050345","4930486L24Rik","M",281.0026423,0.955153882,185.62740786438,"candidate"
"ENSMUSG00000022894","Adamts5","M",13.33105741,0.889503936,177.302162903293,"strong candidate"
"ENSMUSG00000039903","4931408A02Rik","M",9.024398295,0.806924485,174.623831396979,"candidate"
"ENSMUSG00000028011","Tdo2","M",13.84353155,0.933924003,290.98731813734,"strong candidate"
"ENSMUSG00000056498","Tmem154","M",7.356792341,0.808708236,189.193623712958,"candidate"
"ENSMUSG00000004885","Crabp2","M",31.96196942,0.900737962,99.6841651985147,"candidate"
"ENSMUSG00000023918","Gpr115","M",7.471361862,0.876866131,88.8814520941112,"candidate"
"ENSMUSG00000020953","Coch","M",78.87049916,0.796665642,63.9217820610215,"candidate"
"ENSMUSG00000035105","Egln3","M",26.52479148,0.859388889,116.980679767887,"candidate"
"ENSMUSG00000025321","Itgb8","M",2.765782453,0.915867293,195.966823034871,"candidate"
"ENSMUSG00000017400","Stac2","M",5.596702094,0.943349835,216.458971123952,"candidate"
"ENSMUSG00000028635","Edn2","M",13.78194251,0.94124686,18.997446133511,"candidate"
"ENSMUSG00000056529","Ptafr","M",15.49119246,0.92813904,91.1426509664132,"candidate"
"ENSMUSG00000028927","Padi2","M",46.61175253,0.840140293,81.8979509781913,"candidate"
"ENSMUSG00000037482","Erv3","M",807.7352091,0.947580545,46.8399147408713,"candidate"
